frame_index,timestamp_ms,target_x,target_y,target_pan_deg,target_tilt_deg
0,0.00,512.000,240.000,1.2000,0.0000
1,33.33,511.893,235.734,1.1993,0.0267
2,66.67,511.573,231.473,1.1973,0.0533
3,100.00,511.041,227.221,1.1940,0.0799
4,133.33,510.296,222.984,1.1893,0.1064
5,166.67,509.340,218.765,1.1834,0.1327
6,200.00,508.173,214.570,1.1761,0.1589
7,233.33,506.797,210.404,1.1675,0.1850
8,266.67,505.214,206.270,1.1576,0.2108
9,300.00,503.425,202.173,1.1464,0.2364
10,333.33,501.432,198.119,1.1339,0.2618
11,366.67,499.237,194.111,1.1202,0.2868
12,400.00,496.844,190.154,1.1053,0.3115
13,433.33,494.254,186.253,1.0891,0.3359
14,466.67,491.470,182.411,1.0717,0.3599
15,500.00,488.496,178.634,1.0531,0.3835
16,533.33,485.334,174.924,1.0333,0.4067
17,566.67,481.989,171.287,1.0124,0.4295
18,600.00,478.464,167.726,0.9904,0.4517
19,633.33,474.763,164.245,0.9673,0.4735
20,666.67,470.890,160.849,0.9431,0.4947
21,700.00,466.850,157.540,0.9178,0.5154
22,733.33,462.646,154.323,0.8915,0.5355
23,766.67,458.284,151.201,0.8643,0.5550
24,800.00,453.768,148.178,0.8360,0.5739
25,833.33,449.103,145.257,0.8069,0.5921
26,866.67,444.295,142.442,0.7768,0.6097
27,900.00,439.349,139.734,0.7459,0.6267
28,933.33,434.270,137.138,0.7142,0.6429
29,966.67,429.065,134.656,0.6817,0.6584
30,1000.00,423.738,132.292,0.6484,0.6732
31,1033.33,418.296,130.047,0.6143,0.6872
32,1066.67,412.745,127.924,0.5797,0.7005
33,1100.00,407.090,125.925,0.5443,0.7130
34,1133.33,401.339,124.054,0.5084,0.7247
35,1166.67,395.498,122.311,0.4719,0.7356
36,1200.00,389.573,120.699,0.4348,0.7456
37,1233.33,383.570,119.219,0.3973,0.7549
38,1266.67,377.497,117.874,0.3594,0.7633
39,1300.00,371.360,116.665,0.3210,0.7708
40,1333.33,365.166,115.592,0.2823,0.7776
41,1366.67,358.921,114.658,0.2433,0.7834
42,1400.00,352.634,113.862,0.2040,0.7884
43,1433.33,346.310,113.207,0.1644,0.7925
44,1466.67,339.957,112.693,0.1247,0.7957
45,1500.00,333.582,112.321,0.0849,0.7980
46,1533.33,327.191,112.090,0.0449,0.7994
47,1566.67,320.793,112.001,0.0050,0.8000
48,1600.00,314.394,112.055,-0.0350,0.7997
49,1633.33,308.001,112.250,-0.0750,0.7984
50,1666.67,301.621,112.588,-0.1149,0.7963
51,1700.00,295.262,113.067,-0.1546,0.7933
52,1733.33,288.930,113.687,-0.1942,0.7895
53,1766.67,282.633,114.448,-0.2335,0.7847
54,1800.00,276.377,115.348,-0.2726,0.7791
55,1833.33,270.170,116.386,-0.3114,0.7726
56,1866.67,264.018,117.562,-0.3499,0.7652
57,1900.00,257.928,118.874,-0.3879,0.7570
58,1933.33,251.908,120.320,-0.4256,0.7480
59,1966.67,245.963,121.899,-0.4627,0.7381
60,2000.00,240.100,123.610,-0.4994,0.7274
61,2033.33,234.326,125.450,-0.5355,0.7159
